# File:UrbanShare_SSP.csv
# Title: country level urban share from SSP database across SSPs
# Units:ppl, constant 2015 prices
# Source: SSP database
# Column types: cccccnnnnnnnnnn
# ----------
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
NCAR,SSP1_v9_130115,LVA,Population|Urban|Share,%,67.72,73.99461056,78.87678399,82.68850881,85.69098424,88.08153845,90.00566039,91.57022687,92.8542221,93.91662865
NCAR,SSP1_v9_130115,MAR,Population|Urban|Share,%,58.239,65.69280488,72.83902772,79.28193502,84.73722987,89.09155407,92.39337603,94.79521587,96.48775691,97.65310123
NCAR,SSP1_v9_130115,MDA,Population|Urban|Share,%,46.95,57.31969477,66.21046256,73.44405496,79.16751587,83.64031064,87.12286118,89.83647092,91.95681034,93.61938067
NCAR,SSP1_v9_130115,MDG,Population|Urban|Share,%,30.189,39.64482686,49.4293176,58.75378009,67.0602848,74.09439937,79.84220773,84.42714151,88.02686701,90.82396154
NCAR,SSP1_v9_130115,MEX,Population|Urban|Share,%,77.828,84.72178369,89.32454681,92.44894083,94.60712081,96.12018565,97.19347854,97.96166544,98.5151892,98.91603785
NCAR,SSP1_v9_130115,MKD,Population|Urban|Share,%,59.313,66.78314306,73.62354055,79.58550316,84.55146867,88.52757187,91.60825176,93.93337044,95.65303199,96.90563955
NCAR,SSP1_v9_130115,MLI,Population|Urban|Share,%,35.857,48.18224885,59.39065789,68.64267421,75.88690565,81.42952133,85.64249853,88.84952719,91.30259079,93.1898752
NCAR,SSP1_v9_130115,MMR,Population|Urban|Share,%,33.647,43.75282137,53.34130888,61.7542306,68.78260119,74.50276736,79.10711969,82.80535045,85.78353042,88.19357674
NCAR,SSP1_v9_130115,MNG,Population|Urban|Share,%,62.026,69.89314395,75.82365194,80.30733911,83.74263988,86.41849426,88.5375114,90.24141647,91.63038248,92.77631855
NCAR,SSP1_v9_130115,MOZ,Population|Urban|Share,%,38.434,50.22992328,60.38076016,68.48287418,74.74983124,79.56811957,83.29580678,86.21227396,88.52291384,90.37615388
